player_division,player_number,player_score,player_rating
12UB,150,16,1.7777777777777777
12UB,151,14,1.5555555555555556
12UB,152,31,3.4444444444444446
12UB,153,27,3.0
12UB,154,17,1.8888888888888888
12UB,155,30,3.3333333333333335
12UB,156,42,4.666666666666667
12UB,157,30,3.3333333333333335
12UB,158,29,3.2222222222222223
12UB,159,45,5.0
12UB,160,33,3.6666666666666665
12UB,263,40,4.444444444444445
12UB,264,40,4.444444444444445
12UB,265,17,1.8888888888888888
12UB,266,28,3.1666666666666665
12UB,267,32,3.611111111111111
12UB,268,33,3.6666666666666665
12UB,269,34,3.8333333333333335
12UB,270,24,2.7222222222222223
12UB,271,25,2.861111111111111
12UB,272,30,3.3333333333333335
12UB,294,37,4.111111111111111
12UB,295,24,2.6666666666666665
12UB,296,31,3.4444444444444446
12UB,297,31,3.4444444444444446
12UB,298,22,2.4444444444444446
12UB,299,19,2.111111111111111
12UB,300,26,2.888888888888889
12UB,301,42,4.666666666666667
12UB,302,42,4.666666666666667
12UB,303,28,3.111111111111111
12UB,304,10,1.1111111111111112
